Country,Clicks,Impressions,CTR,Position
Portugal,47,417,11.27%,7.31
United Kingdom,26,206,12.62%,15.56
Netherlands,6,56,10.71%,11.91
Germany,5,70,7.14%,9.11
Belgium,5,33,15.15%,6.55
Rwanda,4,5,80%,2.4
United States,3,91,3.3%,37.51
Spain,3,44,6.82%,7.7
Ireland,2,34,5.88%,7.97
Luxembourg,2,7,28.57%,2
Finland,2,5,40%,5.4
Norway,1,16,6.25%,6.25
Denmark,1,16,6.25%,6.69
Italy,1,11,9.09%,10
Israel,1,9,11.11%,38
United Arab Emirates,1,5,20%,7.4
Estonia,1,2,50%,1
Philippines,1,2,50%,22
France,0,47,0%,12.74
India,0,19,0%,45.42
Switzerland,0,17,0%,10.47
Sweden,0,14,0%,12.71
South Korea,0,14,0%,45.07
Russia,0,14,0%,61.14
Canada,0,13,0%,20.69
Brazil,0,13,0%,37.85
Austria,0,12,0%,6.58
Vietnam,0,11,0%,25
Australia,0,11,0%,27.64
Turkey,0,9,0%,23.33
Ukraine,0,8,0%,50.62
Iceland,0,7,0%,6.43
Poland,0,6,0%,22.33
Argentina,0,5,0%,42.6
Taiwan,0,5,0%,45.6
Czechia,0,4,0%,3.5
Latvia,0,4,0%,5
Greece,0,4,0%,7.75
Hungary,0,4,0%,9.25
Bosnia & Herzegovina,0,4,0%,12.75
Bulgaria,0,4,0%,22.5
Saudi Arabia,0,4,0%,22.5
Croatia,0,3,0%,1.33
New Zealand,0,3,0%,10.33
Singapore,0,3,0%,11.67
South Africa,0,3,0%,12
Indonesia,0,3,0%,25.67
Romania,0,3,0%,32
Mauritius,0,2,0%,3
Pakistan,0,2,0%,9.5
Slovenia,0,2,0%,11
Kenya,0,2,0%,20.5
Peru,0,2,0%,23
Iraq,0,2,0%,36
Armenia,0,2,0%,73.5
Myanmar (Burma),0,2,0%,74
Azerbaijan,0,1,0%,1
Kazakhstan,0,1,0%,1
Uganda,0,1,0%,1
Ecuador,0,1,0%,5
Lithuania,0,1,0%,5
Morocco,0,1,0%,5
Oman,0,1,0%,5
Colombia,0,1,0%,6
Georgia,0,1,0%,6
Moldova,0,1,0%,6
Malta,0,1,0%,7
Hong Kong,0,1,0%,8
Lebanon,0,1,0%,9
Venezuela,0,1,0%,9
Belize,0,1,0%,11
Paraguay,0,1,0%,11
Qatar,0,1,0%,12
Unknown Region,0,1,0%,27
Belarus,0,1,0%,29
Mongolia,0,1,0%,37
Bahamas,0,1,0%,41
Albania,0,1,0%,43
Andorra,0,1,0%,59
Trinidad & Tobago,0,1,0%,64
Kyrgyzstan,0,1,0%,73
Senegal,0,1,0%,94
Japan,0,1,0%,98